datetime,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,day,month,year,dayofweek,dayofyear,week,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,is_night,is_morning,is_afternoon,is_evening,is_weekend,season,CO(GT)_to_NOx(GT),CO(GT)_diff,CO(GT)_diff_abs,PT08.S1(CO)_diff,PT08.S1(CO)_diff_abs,NOx(GT)_diff,NOx(GT)_diff_abs,CO(GT)_rolling_mean_6h,CO(GT)_rolling_std_6h,PT08.S1(CO)_rolling_mean_6h,PT08.S1(CO)_rolling_std_6h,CO(GT)_lag_1,CO(GT)_lag_3,CO(GT)_lag_6,PT08.S1(CO)_lag_1,PT08.S1(CO)_lag_3,PT08.S1(CO)_lag_6,CO(GT)_times_PT08.S1(CO),CO(GT)_plus_PT08.S1(CO),pollution_index
2004-03-10 18:00:00,2.6,1360.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,18,10,3,2004,2,70,11,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,1,0,2,0.015662650508056323,-4.275331338178641e-05,0.4526249650694553,-0.03088926891834117,70.64127617163282,0.010581445061992292,49.2494050614872,2.6,0.6535309437298209,1360.0,101.06334366846644,2.1265210121344946,2.126494610811453,2.1261715955010514,1100.6132339230871,1100.6192448775287,1100.5687537786764,3536.0,1362.6,0.20785793112423054
2004-03-10 19:00:00,2.0,1292.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,19,10,3,2004,2,70,11,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,1,0,2,0.01941747553963616,-0.6000000000000001,0.6000000000000001,-68.0,68.0,-63.0,63.0,2.3,0.4242640687119284,1326.0,48.08326112068523,2.6,2.126494610811453,2.1261715955010514,1360.0,1100.6192448775287,1100.5687537786764,2584.0,1294.0,0.04841961211070157
2004-03-10 20:00:00,2.2,1402.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,20,10,3,2004,2,70,11,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,1,0,2,0.016793893001573336,0.20000000000000018,0.20000000000000018,110.0,110.0,28.0,28.0,2.266666666666667,0.3055050463303892,1351.3333333333333,55.50975890177633,2.0,2.126494610811453,2.1261715955010514,1292.0,1100.6192448775287,1100.5687537786764,3084.4,1404.2,0.22396795159239158
2004-03-10 21:00:00,2.2,1376.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,21,10,3,2004,2,70,11,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,1,0,2,0.012790697600054085,0.0,0.0,-26.0,26.0,41.0,41.0,2.25,0.2516611478423582,1357.5,46.97162263892249,2.2,2.6,2.1261715955010514,1402.0,1360.0,1100.5687537786764,3027.2000000000003,1378.2,0.3179378479112292
2004-03-10 22:00:00,1.6,1272.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,22,10,3,2004,2,70,11,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,1,0,2,0.01221374036478061,-0.6000000000000001,0.6000000000000001,-104.0,104.0,-41.0,41.0,2.12,0.3633180424916989,1340.4,55.82830823157732,2.2,2.0,2.1261715955010514,1376.0,1292.0,1100.5687537786764,2035.2,1273.6,0.22407177488525265
2004-03-10 23:00:00,1.2,1197.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,23,10,3,2004,2,70,11,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,1,0,2,0.013483145915919708,-0.40000000000000013,0.40000000000000013,-75.0,75.0,-42.0,42.0,1.9666666666666668,0.496655480858378,1316.5,76.9460850206169,1.6,2.2,2.1261715955010514,1272.0,1402.0,1100.5687537786764,1436.3999999999999,1198.2,0.11179967087496274
2004-03-11 00:00:00,1.2,1185.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,0,11,3,2004,3,71,11,0.0,1.0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1,0,0,0,0,2,0.019354838397502606,0.0,0.0,-12.0,12.0,-27.0,27.0,1.7333333333333334,0.4676180777800049,1287.3333333333333,89.33009944395377,1.2,2.2,2.6,1197.0,1376.0,1360.0,1422.0,1186.2,-0.045681750706130286
2004-03-11 01:00:00,1.0,1136.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,1,11,3,2004,3,71,11,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1,0,0,0,0,2,0.01612903199791884,-0.19999999999999996,0.19999999999999996,-49.0,49.0,0.0,0.0,1.5666666666666667,0.5278888771954442,1261.3333333333333,108.37281331896234,1.2,1.6,2.0,1185.0,1272.0,1292.0,1136.0,1137.0,-0.07075128909019353
2004-03-11 02:00:00,0.9,1094.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,2,11,3,2004,3,71,11,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1,0,0,0,0,2,0.019999999555555568,-0.09999999999999998,0.09999999999999998,-42.0,42.0,-17.0,17.0,1.3499999999999999,0.4806245936279167,1210.0,101.11973101230036,1.0,1.2,2.2,1136.0,1197.0,1402.0,984.6,1094.9,-0.13854215635772035
2004-03-11 03:00:00,0.6,1010.0,1.7,561.0,45.0,1705.0,60.0,1235.0,501.0,10.3,60.2,0.7517,3,11,3,2004,3,71,11,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1,0,0,0,0,2,0.013333333037037045,-0.30000000000000004,0.30000000000000004,-84.0,84.0,0.0,0.0,1.0833333333333333,0.3371448748930744,1149.0,90.82290460010594,0.9,1.2,2.2,1094.0,1185.0,1376.0,606.0,1010.6,-0.1993374231899043
